transaction_id,user_id,device_fingerprint_score,geo_distance_km,transaction_amount,velocity_score,ip_risk_score,label
tx_0,1102,0.04521867010618941,978.8899284177305,6269.6591858211705,0.8525474212459705,0.5505316805962256,Medium
tx_1,1435,0.026366974497252005,37.8143748907106,9264.562241233567,0.9379652314338942,0.40736552421283234,Medium
tx_2,1860,0.3764633668780496,3237.373570773015,200.96978335334265,0.08510348611978535,0.5213770214737412,Medium
tx_3,1270,0.8105533307818329,4490.152744749935,4773.666248494993,0.38559759251333336,0.8965746584690102,High
tx_4,1106,0.9872761293149445,1217.4114828814963,6880.343203881301,0.07103488904400213,0.19629430231106704,Medium
tx_5,1071,0.15041689110352818,4635.172723981534,7229.842507405302,0.21079310155002862,0.022564511705347234,Medium
tx_6,1700,0.5941307153521351,301.33695144780427,6928.398991055708,0.22936577703767236,0.861664884699101,Medium
tx_7,1020,0.3808908566310215,4672.1801340275715,1353.0069427871374,0.4691072110475787,0.5771170823879065,Medium
tx_8,1614,0.9699143978146032,1758.1134361981722,3000.9619278330956,0.2685621674536426,0.8906584554618424,Medium
tx_9,1121,0.8421189231357087,507.1041422460826,3593.5680989159646,0.10097810681776109,0.5969452234131726,Medium
tx_10,1466,0.8383287047111379,2429.3587959316283,8046.327704718255,0.1674910890941077,0.8101610899597025,High
tx_11,1214,0.4686931597949703,1283.8828386025398,2794.8111254213845,0.14727556355209093,0.42967336335514794,Medium
tx_12,1330,0.4148195023376652,1424.3645098096142,2114.9425890333596,0.9730767979122983,0.7498599312882688,Medium
tx_13,1458,0.27340707193070624,1536.4498246314329,9574.90571019058,0.7592925069184736,0.913041466889856,Medium
tx_14,1087,0.056375496650927115,4015.129489163317,98.5442182835543,0.967761465269562,0.5721229637222063,Medium
tx_15,1372,0.8647223762550532,2695.8063833762726,9978.230348262961,0.43974048650790853,0.18078515056237954,High
tx_16,1099,0.8129010091300776,1556.5384957800181,6771.444775585383,0.2783684816626566,0.26879761503019817,Medium
tx_17,1871,0.9997176732861306,3051.6689165545918,8286.40830149668,0.7982931972091867,0.19864457689740578,High
tx_18,1663,0.9966368370739054,3580.7533711159676,2953.2477694984696,0.3262539180411468,0.24685702759573291,Medium
tx_19,1130,0.5554317056026274,1363.120003667669,153.0096238939292,0.2993833737053483,0.3064154493510364,Low
tx_20,1661,0.7689874151805105,2067.7455076267574,7381.3164904296855,0.2325059922078312,0.5551337867531885,High
tx_21,1308,0.944765729882428,609.4304666847378,8343.104524036751,0.12967897822423535,0.5879916294638328,High
tx_22,1769,0.8496473906774115,905.7467476734016,7407.356558215656,0.25646306101676597,0.4264997472418611,Medium
tx_23,1343,0.24734810174319766,3405.589269824914,1437.0743701353776,0.3553197484738877,0.6154207798208354,Medium
tx_24,1491,0.4505441353100935,907.1917384781348,7536.744943347121,0.6739942081457304,0.08157492561136592,Medium
tx_25,1413,0.12915941515149498,2625.8169183353007,7691.538593255334,0.06256484221945158,0.08778823705815997,Medium
tx_26,1805,0.9540510272587224,3545.2313086121635,6588.819751543849,0.21050693966534295,0.17182946035765845,High
tx_27,1385,0.60617463445088,534.3846154737192,7663.498168627906,0.8090236402916764,0.5180774980403448,Medium
tx_28,1191,0.22864280550346272,2836.561098144518,8460.755182380544,0.14692192358377076,0.21399467869831357,Medium
tx_29,1955,0.6717006844058567,1282.8139185068187,6139.90510123221,0.34264514652252154,0.28328440349257733,Medium
tx_30,1276,0.6181282404578958,4814.634376187899,895.1610925570939,0.8646589218581401,0.40031283617299407,Medium
